style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
liberty,step-17-tile_shave_only,17,fps,2206.1419,2025.2968,2258.7233,1742.1842,2314.7197,195,0.000000
liberty,step-18-tile_shave,18,loadMs,123.5000,122.7000,124.2000,121.1000,126.9000,195,0.000000
liberty,step-18-tile_shave,18,fps,2225.6629,2050.9122,2262.7834,1742.5858,2338.3938,195,0.000000
liberty,step-19-tile_rewrite,19,loadMs,123.5000,122.7000,124.4000,120.6000,127.9500,195,0.000000
liberty,step-19-tile_rewrite,19,fps,2022.0617,1903.2403,2103.3939,1622.3651,2249.1758,195,0.000000
osm-bright,step-00-baseline,0,loadMs,525.4000,449.8500,554.6000,410.4750,584.3750,54,
osm-bright,step-00-baseline,0,fps,638.9696,591.7663,744.1127,513.4690,893.8180,54,
osm-bright,step-01-simplify_unary,1,loadMs,554.1000,464.7000,584.7000,412.8000,624.9750,54,0.012679
osm-bright,step-01-simplify_unary,1,fps,616.1569,586.4400,748.7351,520.2724,913.3281,54,0.714414
osm-bright,step-03-constant_fold,3,loadMs,576.1000,494.1500,661.2500,422.0000,688.1500,54,0.000000
osm-bright,step-03-constant_fold,3,fps,618.9933,571.0274,735.0548,521.9540,894.1230,54,0.420788
osm-bright,step-05-simplify_expressions,5,loadMs,576.8500,497.0500,668.8500,429.1500,692.6750,54,0.000005
osm-bright,step-05-simplify_expressions,5,fps,627.2873,596.8174,719.5000,518.0347,887.1223,54,0.213435
osm-bright,step-06-strip_defaults,6,loadMs,603.9500,506.8500,667.1500,440.9750,696.0750,54,0.000043
osm-bright,step-06-strip_defaults,6,fps,644.4398,562.3906,763.8600,529.3057,946.0329,54,0.000171
osm-bright,step-07-minify_colors,7,loadMs,574.0000,488.4500,648.1000,421.4500,690.4750,54,0.000002
osm-bright,step-07-minify_colors,7,fps,625.2172,581.4174,707.8091,520.1126,921.7701,54,0.061107
osm-liberty,step-00-baseline,0,loadMs,483.5000,420.9000,538.8000,391.9250,588.7750,54,
osm-liberty,step-00-baseline,0,fps,561.7360,518.8535,639.9344,364.9911,821.0835,54,
osm-liberty,step-01-simplify_unary,1,loadMs,469.9000,431.7500,551.3000,361.5500,599.2250,54,0.086631
osm-liberty,step-01-simplify_unary,1,fps,561.0894,523.8447,649.7430,357.2101,833.7587,54,0.746784
osm-liberty,step-03-constant_fold,3,loadMs,519.2500,442.2000,616.5000,365.3750,656.0000,54,0.003661
osm-liberty,step-03-constant_fold,3,fps,549.9888,497.3449,628.7778,352.0673,861.5514,54,0.451213
osm-liberty,step-05-simplify_expressions,5,loadMs,522.0500,453.0000,621.5500,366.8250,651.1250,54,0.000171
osm-liberty,step-05-simplify_expressions,5,fps,525.6186,507.2908,634.8523,354.0596,868.5023,54,0.104584
osm-liberty,step-06-strip_defaults,6,loadMs,530.1000,452.2000,617.4000,362.8500,656.9250,54,0.004553
osm-liberty,step-06-strip_defaults,6,fps,541.1260,499.7370,629.5825,370.1579,860.3859,54,0.773008
osm-liberty,step-07-minify_colors,7,loadMs,512.2500,438.6500,631.1500,371.5000,654.6750,54,0.004141
osm-liberty,step-07-minify_colors,7,fps,540.1918,505.0380,642.8028,356.2836,870.2792,54,0.996565
positron,step-00-baseline,0,loadMs,419.4000,380.9000,465.9000,330.2000,500.2000,53,
positron,step-00-baseline,0,fps,826.9739,747.0402,892.3762,705.9382,1060.9888,53,
positron,step-01-simplify_unary,1,loadMs,429.1000,387.2500,480.5000,319.5500,530.3000,54,0.839525
positron,step-01-simplify_unary,1,fps,814.4864,763.5061,938.3710,706.9892,1046.1197,54,0.992543
positron,step-05-simplify_expressions,5,loadMs,438.0000,381.9000,478.6500,312.0000,578.3000,54,0.692359
positron,step-05-simplify_expressions,5,fps,819.9852,758.8829,884.0499,721.7822,1041.1932,54,0.972662
positron,step-06-strip_defaults,6,loadMs,432.7000,401.8500,459.6500,339.1250,596.6000,54,0.518999
positron,step-06-strip_defaults,6,fps,820.4615,784.1733,916.2934,707.6635,1034.2870,54,0.937920
positron,step-07-minify_colors,7,loadMs,437.3000,391.6500,476.7500,318.6500,539.9500,54,0.717809
positron,step-07-minify_colors,7,fps,806.8243,766.8472,906.2206,726.1068,1008.8685,54,0.942877
stadia-outdoors,step-00-baseline,0,loadMs,513.2500,446.9000,585.1500,420.8000,662.7750,54,
stadia-outdoors,step-00-baseline,0,fps,586.4978,508.4098,618.4864,476.7058,738.3790,54,
stadia-outdoors,step-01-simplify_unary,1,loadMs,515.9500,462.7000,550.5500,412.8750,644.4500,54,0.220158
stadia-outdoors,step-01-simplify_unary,1,fps,583.9126,551.5728,648.5774,476.8679,705.9895,54,0.272291
stadia-outdoors,step-03-constant_fold,3,loadMs,579.9500,504.1000,606.0000,460.2250,663.0250,54,0.000582
stadia-outdoors,step-03-constant_fold,3,fps,599.4768,574.0914,667.8199,496.0138,737.8152,54,0.085844
stadia-outdoors,step-05-simplify_expressions,5,loadMs,590.1000,498.0500,626.5500,455.1000,649.9500,54,0.003465
stadia-outdoors,step-05-simplify_expressions,5,fps,594.3064,553.6865,691.8910,492.2167,755.6873,54,0.118110
stadia-outdoors,step-06-strip_defaults,6,loadMs,550.6000,496.5500,602.6000,445.8000,650.3250,54,0.004085
stadia-outdoors,step-06-strip_defaults,6,fps,603.1252,553.5209,707.0165,500.6455,809.4737,54,0.000903
stadia-outdoors,step-07-minify_colors,7,loadMs,592.6000,501.4500,626.2500,440.8250,659.2250,54,0.029056
stadia-outdoors,step-07-minify_colors,7,fps,608.0506,556.1799,708.7319,498.7679,796.2719,54,0.003015
stadia-outdoors,step-08-strip_metadata,8,loadMs,570.6000,485.2500,616.8500,434.0750,648.8750,54,0.040861
stadia-outdoors,step-08-strip_metadata,8,fps,615.8112,594.5795,710.4647,516.9315,840.2891,54,0.002337
stadia-outdoors,step-09-dead_elimination,9,loadMs,577.6500,492.0500,638.8500,436.1750,662.7250,54,0.023810
stadia-outdoors,step-09-dead_elimination,9,fps,637.8820,573.5331,710.1886,499.7791,793.2882,54,0.016879
stadia-outdoors,step-12-metadata_refinement_paint,12,loadMs,587.9500,516.3000,644.8500,433.3500,713.9000,54,0.002023
stadia-outdoors,step-12-metadata_refinement_paint,12,fps,600.8984,560.9144,710.1607,457.2310,785.5598,54,0.093996
stadia-outdoors,step-14-cleanup,14,loadMs,598.6500,514.8500,657.2500,428.0500,705.9000,54,0.000704
stadia-outdoors,step-14-cleanup,14,fps,606.8915,541.6687,715.6028,481.0505,773.7293,54,0.116098
stadia-outdoors,step-15-layer_merge,15,loadMs,563.3000,487.7500,647.0000,444.5250,695.9750,54,0.001360
stadia-outdoors,step-15-layer_merge,15,fps,627.9013,564.6314,712.1499,492.5058,814.8474,54,0.033087
toner,step-00-baseline,0,loadMs,383.8500,368.0000,401.3000,352.0250,434.6500,54,
toner,step-00-baseline,0,fps,1223.1686,1140.6844,1303.7315,1060.1374,1343.6157,54,
toner,step-01-simplify_unary,1,loadMs,361.9000,340.9500,388.2000,324.5000,411.6250,54,0.000047
toner,step-01-simplify_unary,1,fps,1230.7118,1179.6257,1272.7847,1062.3345,1325.3021,54,0.295496
toner,step-03-constant_fold,3,loadMs,354.3500,335.3500,370.0000,318.1750,393.0250,54,0.000003
toner,step-03-constant_fold,3,fps,1201.7497,1123.6263,1278.6988,1055.3548,1318.7556,54,0.164362
toner,step-05-simplify_expressions,5,loadMs,358.6000,336.4500,379.1000,306.4500,402.2250,54,0.000048
toner,step-05-simplify_expressions,5,fps,1215.6719,1184.4820,1263.6118,1044.6747,1335.5981,54,0.948511
toner,step-06-strip_defaults,6,loadMs,363.1500,346.4500,387.7000,325.5250,412.7750,54,0.002337
toner,step-06-strip_defaults,6,fps,1229.8576,1143.0531,1307.4836,1062.3646,1348.4552,54,0.122217
toner,step-07-minify_colors,7,loadMs,350.4500,335.3500,381.9500,313.6250,403.6250,54,0.000016
toner,step-07-minify_colors,7,fps,1267.1620,1167.7665,1333.3145,1083.8187,1386.8716,54,0.180607
